"","kingdom","phylum","order","family","genus"
"ASV642","Bacteria","Proteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV6424","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV6428","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae spc"
"ASV643","Bacteria","Actinobacteria","Coriobacteriales","Coriobacteriales spc","Coriobacteriales spc"
"ASV6431","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV644","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV64441","Bacteria","Tenericutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"ASV645","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV64528","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadales spc","Pseudomonadales spc"
"ASV64529","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV647","Bacteria","Proteobacteria","Hyphomicrobiales","Lichenibacteriaceae","Lichenibacteriaceae spc"
"ASV6484","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV64856","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV6488","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV649","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV64998","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Weissella"
"ASV65","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV65000","Bacteria","Firmicutes","Clostridiales","Clostridiaceae","Clostridium"
"ASV65008","Bacteria","Proteobacteria","Rhodospirillales","Rhodospirillales spc","Rhodospirillales spc"
"ASV65051","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV651","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Swingsia"
"ASV65167","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV65169","Bacteria","Firmicutes","Firmicutes spc","Firmicutes spc","Firmicutes spc"
"ASV65174","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV652","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV653","Bacteria","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus-Rhabdochlamydia"
"ASV65302","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV65303","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV6535","Bacteria","Bacteroidetes","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV655","Bacteria","Proteobacteria","Burkholderiales","Burkholderiales spc","Burkholderiales spc"
"ASV6559","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV656","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV657","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
